,sample_rate,species_id,waveform
30,48000.0,14.0,"[ 0.11657715  0.12295532  0.11849976 ... -0.03948975 -0.03320312
 -0.02359009]"
31,48000.0,10.0,"[ 3.35693359e-04  3.17382812e-03  8.23974609e-04 ... -9.15527344e-05
  1.83105469e-04  4.73022461e-03]"
32,48000.0,11.0,"[-0.00234985 -0.00552368 -0.00335693 ... -0.00027466 -0.00354004
 -0.00192261]"
33,48000.0,2.0,"[ 0.00476074  0.01049805  0.00057983 ...  0.00384521  0.00039673
 -0.00244141]"
34,48000.0,4.0,"[ 0.01123047  0.00262451  0.00097656 ... -0.0112915  -0.00778198
 -0.00387573]"
35,48000.0,0.0,"[-0.03631592 -0.03540039 -0.02575684 ... -0.07788086 -0.08041382
 -0.07839966]"
36,48000.0,12.0,"[-0.00192261 -0.00271606  0.01339722 ... -0.01190186 -0.0352478
 -0.06640625]"
37,48000.0,0.0,"[-0.0071106  -0.00823975 -0.00616455 ...  0.03482056  0.03512573
  0.04168701]"
38,48000.0,3.0,"[-0.00073242 -0.0093689   0.00900269 ...  0.00320435  0.00140381
 -0.00790405]"
39,48000.0,12.0,"[-0.00198364 -0.00097656 -0.00814819 ...  0.00540161  0.0015564
  0.00402832]"
40,48000.0,15.0,"[-0.0010376  -0.00314331 -0.00305176 ... -0.02017212 -0.01727295
 -0.01586914]"
41,48000.0,8.0,"[-0.06576538 -0.08230591 -0.08972168 ... -0.09609985 -0.12042236
 -0.13485718]"
42,48000.0,10.0,"[-0.00180054  0.00317383 -0.00228882 ... -0.00146484  0.0032959
 -0.00219727]"
43,48000.0,1.0,"[ 0.0559082   0.03491211  0.03167725 ... -0.03527832 -0.02313232
 -0.00598145]"
44,48000.0,16.0,"[-0.00692749 -0.00128174 -0.00930786 ... -0.00506592 -0.01443481
  0.01422119]"
45,48000.0,7.0,"[ 0.02020264  0.02450562  0.02960205 ... -0.00357056 -0.00509644
 -0.00198364]"
46,48000.0,22.0,"[-6.10351562e-05  3.35693359e-03 -3.84521484e-03 ... -6.83593750e-03
 -5.70678711e-03 -4.45556641e-03]"
47,48000.0,12.0,"[ 0.09143066  0.06240845  0.03839111 ... -0.01824951 -0.04141235
 -0.06134033]"
48,48000.0,23.0,"[-0.00839233 -0.00622559 -0.00326538 ... -0.00146484  0.00079346
 -0.00305176]"
49,48000.0,19.0,"[-0.00189209 -0.00363159  0.00064087 ... -0.00308228 -0.00024414
  0.00045776]"
50,48000.0,7.0,"[-0.00033569  0.00115967  0.00021362 ...  0.00228882 -0.00323486
 -0.00106812]"
51,48000.0,9.0,"[ 0.00848389 -0.03213501 -0.01516724 ... -0.04281616 -0.02886963
 -0.03549194]"
52,48000.0,12.0,"[ 0.00125122  0.00308228 -0.00021362 ... -0.0274353  -0.01950073
 -0.01760864]"
53,48000.0,6.0,"[ 0.00488281  0.00534058  0.00598145 ... -0.03063965 -0.02246094
  0.01171875]"
54,48000.0,21.0,"[-0.16571045 -0.13009644 -0.08126831 ...  0.00778198  0.00424194
  0.00057983]"
55,48000.0,17.0,"[ 0.00201416  0.00408936  0.00384521 ... -0.0015564  -0.00439453
 -0.00076294]"
56,48000.0,17.0,"[ 0.00241089 -0.00042725  0.00143433 ... -0.00601196  0.00274658
 -0.00210571]"
57,48000.0,17.0,"[-0.00161743 -0.00363159 -0.00253296 ...  0.00100708  0.00039673
 -0.00238037]"
58,48000.0,13.0,"[-0.07476807 -0.06091309 -0.04522705 ... -0.0118103  -0.00769043
 -0.00930786]"
59,48000.0,1.0,[0.01715088 0.02041626 0.02099609 ... 0.04342651 0.02923584 0.02133179]
60,48000.0,2.0,"[ 0.00265503 -0.00164795  0.00067139 ...  0.00170898  0.00311279
  0.00369263]"
61,48000.0,15.0,"[-2.16674805e-03 -4.36401367e-03 -6.74438477e-03 ... -3.05175781e-05
  1.61743164e-03  1.22070312e-02]"
62,48000.0,2.0,"[-0.00299072  0.00564575  0.00262451 ... -0.02261353 -0.02166748
 -0.02520752]"
63,48000.0,18.0,"[ 0.0201416   0.02502441  0.02182007 ...  0.00354004  0.00210571
 -0.00073242]"
64,48000.0,0.0,"[ 0.0015564  -0.00253296 -0.00479126 ...  0.00662231  0.01223755
  0.00866699]"
65,48000.0,3.0,"[ 0.0017395   0.00384521  0.00466919 ... -0.00204468 -0.00436401
 -0.00491333]"
66,48000.0,13.0,"[-0.01556396 -0.03866577  0.02758789 ...  0.01089478 -0.0085144
 -0.01022339]"
67,48000.0,11.0,"[ 0.00021362 -0.00546265 -0.00238037 ... -0.00491333 -0.00234985
 -0.00180054]"
68,48000.0,18.0,[0.02163696 0.02871704 0.02697754 ... 0.00262451 0.01785278 0.03417969]
69,48000.0,2.0,"[-0.00222778 -0.00177002 -0.00210571 ... -0.00549316 -0.00656128
 -0.00180054]"
70,48000.0,20.0,"[ 0.00268555  0.00314331 -0.00326538 ... -0.00024414  0.00479126
  0.00167847]"
71,48000.0,18.0,"[ 0.05560303  0.05963135  0.05114746 ... -0.01541138 -0.02807617
 -0.03536987]"
72,48000.0,15.0,"[ 0.00259399  0.00891113  0.00335693 ...  0.00460815 -0.00054932
  0.00033569]"
73,48000.0,18.0,"[ 0.01397705  0.01904297  0.01757812 ... -0.0368042  -0.03012085
 -0.01998901]"
74,48000.0,23.0,"[-0.00067139  0.00021362  0.0065918  ... -0.00079346 -0.00491333
  0.00146484]"
75,48000.0,15.0,"[ 0.04208374  0.04650879  0.00805664 ...  0.00592041 -0.00704956
 -0.00119019]"
76,48000.0,15.0,"[ 0.00030518 -0.00033569 -0.00524902 ...  0.00909424 -0.00701904
 -0.00537109]"
77,48000.0,17.0,"[-0.00177002  0.00143433 -0.00164795 ... -0.00250244 -0.00726318
 -0.0027771 ]"
78,48000.0,8.0,"[-0.00671387  0.02828979  0.06222534 ... -0.06570435 -0.05923462
 -0.04974365]"
79,48000.0,9.0,"[ 0.00473022  0.00640869  0.00311279 ... -0.00079346 -0.00234985
  0.00402832]"
80,48000.0,3.0,"[-0.00247192 -0.00473022  0.00131226 ... -0.00540161 -0.00488281
 -0.00592041]"
81,48000.0,1.0,"[-0.00479126 -0.00848389 -0.00939941 ... -0.0010376   0.00924683
  0.01187134]"
82,48000.0,21.0,"[-0.04022217 -0.02304077 -0.00247192 ...  0.04406738  0.05584717
  0.06488037]"
83,48000.0,10.0,"[ 0.0010376  -0.00164795  0.00186157 ... -0.02038574 -0.02114868
 -0.02206421]"
84,48000.0,1.0,"[-0.02703857 -0.04611206 -0.05825806 ...  0.08209229  0.03625488
 -0.01098633]"
85,48000.0,11.0,"[-0.00192261 -0.00177002 -0.00033569 ...  0.00061035 -0.00350952
  0.00531006]"
86,48000.0,1.0,"[ 0.006073    0.03137207  0.0668335  ... -0.01596069 -0.06439209
 -0.07754517]"
87,48000.0,14.0,"[ 0.00622559 -0.00946045 -0.02389526 ... -0.00534058  0.0098877
  0.02481079]"
88,48000.0,1.0,"[ 0.01382446  0.01690674  0.0123291  ... -0.00439453 -0.00357056
 -0.01037598]"
89,48000.0,7.0,"[ 0.0085144   0.00167847  0.00567627 ...  0.00073242 -0.00283813
 -0.00097656]"
90,48000.0,13.0,"[-0.081604   -0.0690918  -0.01519775 ...  0.01473999 -0.00140381
 -0.00613403]"
91,48000.0,8.0,"[-0.01565552 -0.02316284 -0.02722168 ... -0.02368164 -0.02243042
 -0.02261353]"
92,48000.0,13.0,"[-0.55871582 -0.5579834  -0.51495361 ... -0.00994873 -0.00061035
 -0.00674438]"
93,48000.0,3.0,[0.00033569 0.00466919 0.00683594 ... 0.00460815 0.         0.00305176]
94,48000.0,18.0,"[ 0.01119995 -0.00253296 -0.01376343 ... -0.00927734 -0.00524902
 -0.00747681]"
95,48000.0,13.0,"[ 0.08776855  0.09301758  0.09661865 ... -0.01205444 -0.02032471
 -0.03240967]"
96,48000.0,9.0,"[-0.00610352 -0.00448608 -0.00524902 ... -0.00177002 -0.00582886
  0.00695801]"
97,48000.0,19.0,"[-0.00515747  0.0017395  -0.00292969 ...  0.01498413  0.01620483
  0.01306152]"
98,48000.0,1.0,[0.00231934 0.01004028 0.00405884 ... 0.00540161 0.00775146 0.00415039]
99,48000.0,0.0,"[ 0.01690674 -0.01043701 -0.03216553 ...  0.00701904 -0.01107788
 -0.03405762]"
100,48000.0,16.0,"[ 0.00823975  0.01190186 -0.0038147  ... -0.00479126 -0.00476074
  0.00686646]"
101,48000.0,18.0,[0.06530762 0.08932495 0.11169434 ... 0.07104492 0.06329346 0.05532837]
102,48000.0,23.0,"[ 0.0050354   0.00238037  0.00305176 ...  0.00061035  0.00247192
 -0.00115967]"
103,48000.0,23.0,"[-2.47192383e-03 -6.10351562e-05 -3.50952148e-03 ... -4.94384766e-03
 -3.69262695e-03 -3.05175781e-05]"
104,48000.0,2.0,"[ 0.00100708 -0.00201416 -0.006073   ...  0.00762939  0.00671387
  0.00360107]"
105,48000.0,3.0,[0.00363159 0.00302124 0.00393677 ... 0.00424194 0.00274658 0.00262451]
106,48000.0,23.0,"[-0.00460815 -0.003479   -0.00323486 ...  0.00033569 -0.00082397
  0.00222778]"
107,48000.0,23.0,"[ 0.00143433  0.00299072  0.00039673 ... -0.003479    0.00106812
 -0.00305176]"
108,48000.0,14.0,"[-0.00500488 -0.00283813 -0.00402832 ...  0.00210571  0.00170898
  0.01223755]"
109,48000.0,14.0,[0.04037476 0.04443359 0.04705811 ... 0.13623047 0.17178345 0.17681885]
110,48000.0,1.0,"[-0.09143066 -0.09970093 -0.08447266 ... -0.00979614 -0.00326538
 -0.00317383]"
111,48000.0,14.0,"[ 0.00830078  0.01226807 -0.00222778 ... -0.00042725  0.00082397
 -0.00994873]"
112,48000.0,22.0,"[-0.01092529 -0.0194397  -0.01531982 ... -0.00515747 -0.00393677
  0.00030518]"
113,48000.0,20.0,"[-0.00769043 -0.00109863  0.01205444 ... -0.00216675 -0.00274658
 -0.00180054]"
114,48000.0,16.0,"[-0.00753784 -0.01751709 -0.00878906 ...  0.00012207 -0.00036621
 -0.00198364]"
115,48000.0,16.0,"[-0.00210571 -0.00064087 -0.00283813 ...  0.00549316  0.00924683
  0.00732422]"
116,48000.0,5.0,"[ 0.00460815 -0.00292969 -0.00491333 ...  0.00241089  0.00305176
 -0.00259399]"
117,48000.0,4.0,"[ 0.00030518 -0.0055542  -0.00360107 ... -0.00430298 -0.00085449
 -0.00018311]"
118,48000.0,16.0,"[-0.01083374 -0.0116272  -0.01547241 ...  0.13839722  0.14105225
  0.11779785]"
119,48000.0,6.0,"[ 3.05175781e-05  5.49316406e-04  0.00000000e+00 ... -1.03759766e-03
  2.74658203e-04  2.83813477e-03]"
120,48000.0,22.0,"[-0.00027466  0.0010376  -0.0012207  ...  0.0055542   0.00558472
  0.00189209]"
121,48000.0,22.0,"[ 0.00427246 -0.0032959  -0.00210571 ... -0.00091553  0.00012207
 -0.00314331]"
122,48000.0,8.0,"[ 0.12780762  0.18963623  0.23651123 ... -0.00723267  0.00564575
  0.01318359]"
123,48000.0,5.0,[0.00363159 0.00085449 0.01309204 ... 0.00061035 0.00057983 0.00537109]
124,48000.0,7.0,"[ 0.00415039  0.00314331  0.00317383 ... -0.00241089 -0.00354004
 -0.01132202]"
125,48000.0,12.0,"[ 0.00112915  0.00244141  0.00076294 ... -0.0057373  -0.00268555
 -0.00057983]"
126,48000.0,19.0,"[ 0.00082397  0.00366211  0.00650024 ...  0.00109863 -0.00039673
 -0.00469971]"
127,48000.0,6.0,"[-0.00891113 -0.00241089  0.00131226 ... -0.00262451 -0.00283813
 -0.00106812]"
128,48000.0,16.0,"[ 0.00698853 -0.03356934  0.03738403 ...  0.05203247 -0.01593018
 -0.01031494]"
129,48000.0,7.0,"[-0.00045776  0.00244141 -0.02084351 ...  0.0057373   0.00619507
  0.00289917]"
130,48000.0,23.0,[0.0501709  0.02346802 0.03128052 ... 0.00112915 0.00979614 0.00500488]
131,48000.0,12.0,"[ 0.00418091 -0.00418091  0.00015259 ... -0.0140686   0.00570679
 -0.00054932]"
132,48000.0,14.0,"[-0.03552246 -0.04034424 -0.06240845 ...  0.01965332  0.0111084
  0.02954102]"
133,48000.0,14.0,"[-0.05618286 -0.0352478  -0.01257324 ... -0.01956177 -0.006073
  0.00949097]"
134,48000.0,1.0,"[-0.00360107 -0.02755737 -0.03210449 ... -0.06921387 -0.03204346
  0.00830078]"
135,48000.0,22.0,"[-0.01797485 -0.02047729 -0.02316284 ...  0.01394653  0.006073
  0.00305176]"
136,48000.0,10.0,[0.00839233 0.00637817 0.00567627 ... 0.00643921 0.00616455 0.00091553]
137,48000.0,6.0,"[ 0.00854492 -0.0078125  -0.00430298 ...  0.00415039  0.00219727
 -0.00106812]"
138,48000.0,12.0,"[-0.00537109 -0.01400757 -0.00689697 ... -0.0244751  -0.0453186
 -0.08132935]"
139,48000.0,6.0,"[-0.00106812 -0.00421143 -0.00326538 ...  0.00299072  0.00106812
  0.00299072]"
140,48000.0,21.0,"[-0.11590576 -0.10394287 -0.05004883 ... -0.04772949 -0.04467773
 -0.03643799]"
141,48000.0,15.0,"[-0.00231934 -0.00552368 -0.00704956 ... -0.00637817 -0.00708008
 -0.00982666]"
142,48000.0,12.0,"[ 0.06149292  0.04562378  0.01846313 ... -0.02838135 -0.03659058
 -0.02905273]"
143,48000.0,6.0,"[ 0.01086426  0.01364136  0.00408936 ... -0.00878906 -0.0133667
 -0.0144043 ]"
144,48000.0,15.0,"[-0.0022583  -0.00497437 -0.00671387 ... -0.0012207   0.00323486
  0.00436401]"
145,48000.0,7.0,[0.01498413 0.0256958  0.02600098 ... 0.01287842 0.0171814  0.01895142]
146,48000.0,16.0,"[ 0.00976562  0.02908325  0.00357056 ... -0.02127075 -0.00765991
 -0.00320435]"
147,48000.0,22.0,"[-3.05175781e-05 -3.05175781e-04 -1.00708008e-03 ... -3.05175781e-04
  1.58691406e-03 -3.05175781e-04]"
148,48000.0,11.0,"[ 0.00219727 -0.00283813  0.00082397 ...  0.00799561 -0.00030518
  0.00537109]"
149,48000.0,8.0,"[-0.01608276 -0.01296997 -0.01638794 ...  0.01022339  0.03686523
  0.05258179]"
150,48000.0,18.0,"[-0.00061035  0.00692749  0.02423096 ...  0.00570679  0.00894165
  0.00512695]"
151,48000.0,2.0,"[-0.01486206 -0.01370239 -0.00097656 ...  0.00106812  0.00494385
  0.00918579]"
152,48000.0,16.0,"[ 0.00354004  0.00231934 -0.00210571 ... -0.0055542  -0.00015259
 -0.00238037]"
153,48000.0,4.0,"[-0.00286865 -0.03790283 -0.0050354  ... -0.00167847  0.03128052
  0.03015137]"
154,48000.0,13.0,"[ 0.0062561   0.00396729  0.00817871 ... -0.00469971  0.00048828
  0.00387573]"
155,48000.0,23.0,"[-0.00085449  0.0012207  -0.00482178 ... -0.00219727 -0.00546265
 -0.00494385]"
156,48000.0,12.0,"[-0.18334961 -0.20922852 -0.23269653 ...  0.26156616  0.23754883
  0.19555664]"
157,48000.0,4.0,"[-0.06115723 -0.05300903 -0.04693604 ...  0.05929565  0.0617981
  0.05541992]"
158,48000.0,6.0,"[-0.00427246 -0.01040649 -0.00808716 ... -0.01254272 -0.00128174
 -0.00900269]"
159,48000.0,15.0,"[-0.00616455 -0.00662231 -0.00775146 ...  0.00793457  0.00869751
  0.01199341]"
160,48000.0,11.0,"[-0.00201416  0.0017395  -0.00183105 ... -0.00640869 -0.00366211
  0.00180054]"
161,48000.0,11.0,"[-0.00802612 -0.00949097 -0.00363159 ... -0.00042725  0.00973511
 -0.00057983]"
162,48000.0,8.0,"[-0.02252197 -0.02200317 -0.01980591 ...  0.01190186  0.02801514
  0.01025391]"
163,48000.0,15.0,"[ 0.00320435  0.00463867  0.00231934 ... -0.00424194  0.0039978
  0.00921631]"
164,48000.0,15.0,"[-0.00512695 -0.00408936 -0.01159668 ... -0.00106812 -0.00036621
 -0.00650024]"
165,48000.0,19.0,"[ 0.00909424  0.00958252  0.00469971 ... -0.00787354 -0.01086426
 -0.00875854]"
166,48000.0,23.0,"[-0.00457764  0.0062561   0.00286865 ... -0.00918579 -0.00216675
 -0.0012207 ]"
167,48000.0,13.0,"[-0.0027771  -0.00198364 -0.00271606 ...  0.01528931  0.01901245
  0.02243042]"
168,48000.0,8.0,"[ 0.00048828  0.00186157  0.00378418 ...  0.0090332  -0.00473022
  0.0015564 ]"
169,48000.0,5.0,[0.01049805 0.00808716 0.01196289 ... 0.0050354  0.00653076 0.01144409]
170,48000.0,1.0,"[-0.01754761 -0.01760864 -0.02484131 ... -0.06240845 -0.08163452
 -0.06588745]"
171,48000.0,22.0,"[-5.37109375e-03 -1.73950195e-03 -9.15527344e-05 ...  2.89916992e-03
  1.67846680e-03  4.02832031e-03]"
172,48000.0,18.0,"[ 0.04779053  0.04226685  0.03796387 ... -0.00732422 -0.00299072
  0.00045776]"
173,48000.0,3.0,"[ 0.00488281 -0.00253296 -0.00546265 ... -0.00701904 -0.01409912
 -0.01101685]"
174,48000.0,23.0,"[-0.00030518  0.00454712  0.0050354  ...  0.00158691  0.00097656
 -0.00238037]"
175,48000.0,22.0,"[-0.019104   -0.01254272 -0.05838013 ... -0.01272583 -0.01779175
 -0.02566528]"
176,48000.0,23.0,"[-0.00408936  0.00054932 -0.00592041 ...  0.00765991  0.00830078
  0.01513672]"
177,48000.0,20.0,"[ 0.00039673  0.00061035  0.00845337 ... -0.00921631 -0.00872803
 -0.00994873]"
178,48000.0,9.0,"[-0.00012207  0.00326538  0.0022583  ... -0.00216675  0.00140381
 -0.0039978 ]"
179,48000.0,1.0,[0.02755737 0.03421021 0.05715942 ... 0.08026123 0.06774902 0.0390625 ]
180,48000.0,1.0,"[ 0.10598755  0.08432007  0.08901978 ...  0.00305176  0.00405884
 -0.02258301]"
181,48000.0,4.0,"[-0.00830078 -0.0274353  -0.05255127 ...  0.00219727  0.01705933
  0.040802  ]"
182,48000.0,0.0,"[ 2.74658203e-04 -3.05175781e-05  1.43432617e-03 ...  6.77490234e-03
  9.39941406e-03  1.13220215e-02]"
183,48000.0,8.0,[0.01312256 0.0098877  0.00793457 ... 0.07531738 0.08978271 0.09567261]
184,48000.0,6.0,"[-0.00726318  0.00082397 -0.00378418 ...  0.00149536  0.00576782
  0.00585938]"
185,48000.0,1.0,"[-0.00531006 -0.01187134 -0.0027771  ...  0.03030396  0.02832031
  0.03341675]"
186,48000.0,6.0,"[-0.00296021 -0.0057373  -0.00439453 ... -0.00234985 -0.00067139
  0.00085449]"
187,48000.0,23.0,"[-1.67846680e-03 -9.76562500e-04 -3.35693359e-04 ...  9.15527344e-05
 -2.83813477e-03  1.98364258e-03]"
188,48000.0,8.0,"[ 0.01797485  0.01654053  0.02212524 ... -0.01593018 -0.0163269
 -0.01928711]"
189,48000.0,15.0,"[-0.00082397  0.00469971 -0.00546265 ...  0.01092529  0.00708008
 -0.01281738]"
190,48000.0,19.0,"[ 0.00106812  0.00177002  0.00393677 ... -0.00106812  0.00195312
  0.00189209]"
191,48000.0,17.0,"[-0.00405884 -0.00088501 -0.00299072 ... -0.00219727 -0.00531006
 -0.00430298]"
192,48000.0,19.0,"[-0.00128174 -0.00100708  0.00216675 ... -0.00128174  0.00152588
  0.0005188 ]"
193,48000.0,0.0,"[ 1.04064941e-02  4.33349609e-03  3.17382812e-03 ...  9.15527344e-05
 -4.33349609e-03 -5.85937500e-03]"
194,48000.0,2.0,"[ 0.00280762  0.00335693  0.00134277 ... -0.0057373  -0.00622559
  0.00149536]"
195,48000.0,2.0,"[ 0.01028442  0.00878906  0.00326538 ...  0.00054932 -0.00601196
 -0.00204468]"
196,48000.0,3.0,"[-0.02035522 -0.01556396 -0.01837158 ... -0.00177002 -0.01046753
 -0.01132202]"
197,48000.0,22.0,"[ 0.00576782  0.00314331 -0.00149536 ... -0.00897217 -0.01266479
 -0.0138855 ]"
198,48000.0,11.0,[0.009552   0.00527954 0.00915527 ... 0.03884888 0.03536987 0.0302124 ]
199,48000.0,3.0,"[-0.00360107 -0.00204468 -0.00524902 ...  0.00375366 -0.01013184
 -0.00061035]"
200,48000.0,10.0,"[-0.01156616 -0.02603149 -0.01940918 ... -0.00021362 -0.01275635
  0.00247192]"
201,48000.0,19.0,"[ 0.00524902  0.00695801 -0.00482178 ... -0.03894043 -0.03909302
 -0.03695679]"
202,48000.0,14.0,"[-0.00128174 -0.00177002 -0.00189209 ... -0.00836182 -0.00762939
 -0.01028442]"
203,48000.0,0.0,"[-0.00415039 -0.01159668 -0.01080322 ...  0.00012207 -0.00390625
 -0.01028442]"
204,48000.0,5.0,"[-3.26538086e-03 -3.35693359e-04 -6.10351562e-05 ...  2.65502930e-03
  4.60815430e-03  2.04467773e-03]"
205,48000.0,5.0,"[ 0.00024414 -0.00387573 -0.00515747 ...  0.00619507 -0.0072937
 -0.00762939]"
206,48000.0,23.0,"[ 0.00836182  0.00283813  0.0085144  ... -0.00375366 -0.0065918
 -0.00497437]"
207,48000.0,8.0,"[-0.00054932 -0.00265503  0.00375366 ...  0.00439453  0.00888062
  0.01602173]"
208,48000.0,7.0,[0.00384521 0.00808716 0.00027466 ... 0.01550293 0.01617432 0.01263428]
209,48000.0,3.0,"[ 0.00228882  0.00564575  0.00375366 ... -0.00439453 -0.00289917
 -0.00012207]"
210,48000.0,5.0,"[ 0.00158691 -0.00579834 -0.00509644 ...  0.00552368  0.00820923
  0.01174927]"
211,48000.0,8.0,"[ 0.03878784  0.03234863  0.00765991 ... -0.01913452  0.00747681
  0.03311157]"
212,48000.0,5.0,"[ 0.00146484  0.0007019   0.00354004 ... -0.00689697  0.00088501
  0.00341797]"
213,48000.0,21.0,"[ 0.0295105   0.02340698  0.01742554 ... -0.0015564  -0.0085144
  0.00387573]"
214,48000.0,17.0,"[-0.00982666 -0.00164795 -0.00454712 ... -0.0269165  -0.02072144
 -0.02120972]"
215,48000.0,12.0,"[-0.01675415  0.00158691  0.00982666 ...  0.01904297  0.01785278
  0.00180054]"
216,48000.0,11.0,"[-0.00991821 -0.00997925 -0.00570679 ... -0.01116943 -0.01034546
 -0.00308228]"
217,48000.0,16.0,"[ 0.01080322 -0.02487183  0.00537109 ...  0.00772095  0.00283813
  0.00170898]"
218,48000.0,1.0,"[-0.01956177  0.03860474 -0.00061035 ...  0.04125977  0.00357056
  0.00579834]"
219,48000.0,19.0,[0.00491333 0.00900269 0.0083313  ... 0.00073242 0.00973511 0.00238037]
220,48000.0,15.0,"[-0.00204468  0.00314331 -0.00100708 ...  0.00082397 -0.00064087
 -0.00106812]"
221,48000.0,11.0,[0.00439453 0.00369263 0.00732422 ... 0.00738525 0.00662231 0.0085144 ]
222,48000.0,21.0,"[-0.06524658 -0.05300903 -0.02810669 ... -0.03695679 -0.01974487
  0.01431274]"
223,48000.0,2.0,"[-0.00259399 -0.0032959  -0.00180054 ... -0.00183105 -0.00042725
 -0.00469971]"
224,48000.0,2.0,"[ 0.0027771   0.00167847  0.00247192 ... -0.00149536 -0.00354004
 -0.00268555]"
225,48000.0,2.0,"[ 0.00946045  0.02163696  0.0118103  ... -0.00640869 -0.00524902
 -0.00857544]"
226,48000.0,13.0,"[-0.02105713 -0.03607178 -0.05334473 ... -0.00457764 -0.00772095
 -0.00357056]"
227,48000.0,0.0,"[-0.00201416 -0.00372314  0.00061035 ...  0.00289917  0.00491333
  0.00552368]"
228,48000.0,9.0,"[-0.06304932 -0.30880737 -0.35095215 ... -0.01464844 -0.06088257
 -0.09866333]"
229,48000.0,23.0,"[-0.00140381  0.006073    0.00210571 ...  0.00628662  0.00643921
 -0.00317383]"
230,48000.0,22.0,"[-0.00842285 -0.00201416  0.00674438 ... -0.01321411 -0.00933838
 -0.01477051]"
231,48000.0,3.0,"[-0.00253296 -0.00039673 -0.00534058 ...  0.00473022 -0.00201416
  0.00354004]"
232,48000.0,2.0,"[-0.00186157  0.00411987  0.00085449 ...  0.0007019   0.00054932
  0.00057983]"
233,48000.0,2.0,"[-0.00393677 -0.00570679 -0.00216675 ... -0.0085144  -0.00622559
 -0.0098877 ]"
234,48000.0,13.0,"[ 0.00506592  0.00039673 -0.00027466 ... -0.0383606  -0.04385376
 -0.03924561]"
235,48000.0,4.0,"[ 0.22702026  0.20748901  0.18218994 ... -0.00527954 -0.01373291
 -0.02804565]"
