,recording_id,waveform
90,0d999c656,"[ 0.00579834  0.00067139  0.0163269  ... -0.00097656  0.00302124
 -0.00500488]"
91,0da661bf4,"[ 0.01278687  0.01394653  0.01635742 ... -0.0038147   0.00033569
 -0.00726318]"
92,0dc380aa8,"[ 0.00637817  0.00958252  0.00491333 ...  0.00033569 -0.00146484
 -0.00424194]"
93,0dda9e6b1,"[ 0.07208252  0.07202148  0.06973267 ... -0.01004028 -0.0083313
 -0.00668335]"
94,0ddf2b7a6,"[ 6.10351562e-05  5.06591797e-03 -1.83105469e-03 ... -2.31933594e-03
  3.29589844e-03  9.46044922e-03]"
95,0def49130,[0.01623535 0.01150513 0.00515747 ... 0.00582886 0.00799561 0.00775146]
96,0e09adfe9,"[-0.01251221  0.01391602 -0.00775146 ... -0.04910278  0.04971313
  0.01351929]"
97,0e1fe96bd,"[-0.01153564 -0.01345825 -0.01205444 ...  0.00247192  0.00213623
  0.00323486]"
98,0e42bd11e,[0.00750732 0.00592041 0.00531006 ... 0.00958252 0.00631714 0.0057373 ]
99,0e6dadd1b,"[ 0.02740479  0.04489136  0.05288696 ... -0.03149414 -0.03515625
 -0.03167725]"
100,0e7bdb0b3,"[ 0.00018311  0.00585938 -0.00180054 ...  0.00302124  0.00305176
  0.01150513]"
101,0ea504d17,"[ 0.00170898  0.00479126  0.00350952 ... -0.00042725 -0.0043335
  0.00012207]"
102,0ea77d7b7,"[-1.22070312e-03 -1.52587891e-03 -2.47192383e-03 ... -2.13623047e-03
 -3.32641602e-03 -6.10351562e-05]"
103,0ec1aeda1,[0.01202393 0.01409912 0.00073242 ... 0.08084106 0.06750488 0.06576538]
104,0ec3209e2,"[ 0.00158691  0.0039978   0.00231934 ... -0.02114868 -0.01400757
 -0.01544189]"
105,0ec7eb8e7,[0.0072937  0.00790405 0.01626587 ... 0.00494385 0.00552368 0.003479  ]
106,0f0e300fb,[0.0032959  0.00460815 0.00518799 ... 0.01498413 0.01025391 0.00646973]
107,0f435eee1,"[-0.00161743 -0.00363159 -0.00299072 ...  0.00018311 -0.00408936
 -0.00146484]"
108,0f52cfeeb,"[ 0.00631714  0.01101685  0.00802612 ... -0.00228882  0.00183105
  0.00015259]"
109,0f97e5ee5,"[ 0.00241089  0.00039673  0.0017395  ... -0.00027466 -0.00241089
  0.00170898]"
110,0fa0af606,"[ 0.00167847  0.01281738  0.00900269 ... -0.00064087  0.00274658
 -0.00338745]"
111,0fdab4b3c,"[ 0.02203369  0.01870728  0.01730347 ...  0.00482178 -0.00387573
 -0.00717163]"
112,0fef36a05,"[-2.04467773e-03  1.22070312e-04  3.05175781e-05 ...  1.29394531e-02
  8.88061523e-03  1.02233887e-02]"
113,101e55d43,[0.01828003 0.01544189 0.00692749 ... 0.00668335 0.00042725 0.00283813]
114,10788adbc,"[ 0.00613403 -0.00259399  0.00292969 ... -0.019104    0.00305176
 -0.04281616]"
115,109557c57,"[ 0.00421143  0.00076294 -0.00308228 ...  0.00482178  0.00866699
  0.00912476]"
116,10b07068d,[0.00878906 0.01208496 0.00924683 ... 0.00109863 0.00466919 0.0017395 ]
117,10b235de1,"[-0.00387573 -0.02450562 -0.03936768 ...  0.03747559  0.02346802
  0.02008057]"
118,10b4e296d,"[-0.00866699 -0.00872803  0.00158691 ...  0.00704956 -0.02285767
 -0.04800415]"
119,10d58c6f5,"[-0.00262451 -0.00167847  0.0045166  ...  0.04055786  0.02502441
  0.02182007]"
120,10fa28496,"[ 0.00201416  0.0032959   0.00393677 ... -0.00131226 -0.00201416
 -0.00442505]"
121,10fe3b80f,"[ 0.01220703  0.00311279 -0.00442505 ... -0.00482178 -0.00991821
 -0.00436401]"
122,10ffc39bc,"[-0.00106812  0.00393677  0.00158691 ... -0.00030518 -0.00234985
  0.00396729]"
123,112e45fc4,"[-0.02822876 -0.01293945 -0.0039978  ... -0.06015015 -0.12258911
 -0.12310791]"
124,11306b782,"[-0.02304077 -0.01296997 -0.00268555 ... -0.13555908 -0.11965942
 -0.0843811 ]"
125,117d9a7c1,"[-0.00598145 -0.00683594 -0.00732422 ... -0.0163269  -0.0196228
 -0.01568604]"
126,1202a2650,"[-0.00231934  0.00128174 -0.00219727 ...  0.00299072 -0.00506592
 -0.00012207]"
127,1216bdea4,"[ 0.00909424  0.01660156  0.01660156 ... -0.00872803  0.00973511
  0.0199585 ]"
128,1246e017b,"[-0.03607178 -0.00842285  0.02398682 ...  0.01531982  0.00973511
  0.00863647]"
129,124a84f36,"[-0.00363159  0.00665283  0.00390625 ...  0.01080322  0.00616455
  0.00360107]"
130,12a4d9e95,"[ 0.00210571  0.00219727  0.00238037 ... -0.00082397 -0.00158691
  0.00125122]"
131,12b81575a,"[-0.02606201 -0.02786255 -0.01522827 ... -0.02285767 -0.01901245
 -0.01022339]"
132,131a6848a,"[ 0.00115967  0.00326538 -0.0012207  ...  0.00027466 -0.00039673
 -0.00628662]"
133,133bdbd34,"[-0.24655151 -0.2522583  -0.21923828 ... -0.04824829 -0.02078247
  0.0274353 ]"
134,135c4d0ab,"[ 0.00564575  0.00701904  0.00402832 ... -0.0067749  -0.00518799
 -0.00369263]"
135,13d9ca101,"[ 2.80761719e-03  2.14843750e-02  3.92761230e-02 ... -2.24914551e-02
 -1.37939453e-02 -3.05175781e-05]"
136,143d47752,[0.01208496 0.01464844 0.01345825 ... 0.0140686  0.01376343 0.01321411]
137,14ac0cbc1,"[-0.00100708  0.00137329  0.00064087 ... -0.00280762 -0.00192261
  0.00039673]"
138,1519c960b,"[ 0.00357056  0.00018311 -0.00180054 ... -0.00222778 -0.00402832
 -0.00228882]"
139,153152f1b,"[ 0.00744629  0.00817871  0.00177002 ... -0.03018188 -0.00735474
  0.02963257]"
140,154009f6f,[0.00204468 0.00878906 0.00311279 ... 0.003479   0.00552368 0.00213623]
141,1595d8520,"[-0.03598022 -0.03250122 -0.02297974 ... -0.0227356  -0.00860596
  0.0055542 ]"
142,16211f6f0,"[ 0.00164795  0.00820923  0.00830078 ...  0.01791382  0.00494385
 -0.01107788]"
143,164419792,"[-0.02154541 -0.0012207   0.02035522 ... -0.00311279  0.00045776
 -0.00415039]"
144,1646f15f8,"[ 5.85937500e-03 -9.15527344e-04 -1.10778809e-02 ...  2.13623047e-03
 -3.05175781e-05  1.64794922e-03]"
145,164ed3af2,"[-0.0017395   0.00857544  0.00424194 ... -0.00039673 -0.00048828
 -0.00384521]"
146,166829221,"[-0.02877808  0.00411987 -0.0085144  ... -0.0296936   0.01550293
  0.00305176]"
147,16ac1552e,"[ 0.00506592  0.00210571 -0.00115967 ...  0.00186157  0.00949097
 -0.00680542]"
148,16bdc9519,"[ 0.00488281  0.00115967  0.00674438 ... -0.00054932  0.00369263
  0.00302124]"
149,16ca3bfc4,"[-8.85009766e-04  9.15527344e-05  1.06811523e-03 ... -1.83105469e-03
 -5.49316406e-04 -2.68554688e-03]"
150,16dce03c1,"[-0.00326538 -0.01177979 -0.01043701 ... -0.05441284 -0.05670166
 -0.06152344]"
151,16ddf4901,"[ 0.00982666 -0.00198364  0.00357056 ...  0.01724243  0.00015259
  0.02749634]"
152,16e1c2483,"[ 0.00292969  0.0022583   0.00341797 ... -0.00695801 -0.00512695
 -0.00241089]"
153,172ff2c64,"[-0.00665283 -0.00787354 -0.01318359 ... -0.00527954 -0.00140381
  0.00100708]"
154,17557278d,"[ 0.02182007 -0.0015564  -0.00488281 ...  0.05685425 -0.0085144
 -0.03671265]"
155,17583f1e7,"[-0.00888062 -0.01077271 -0.0050354  ...  0.00048828 -0.01013184
 -0.02410889]"
156,176321177,"[ 0.01031494 -0.00262451 -0.00543213 ... -0.00231934 -0.00863647
 -0.00518799]"
157,17765d8a3,"[-0.01086426  0.00238037  0.00228882 ...  0.01895142  0.00790405
  0.0090332 ]"
158,17c3e49cb,"[-0.01651001 -0.01574707 -0.00387573 ...  0.00210571  0.00128174
  0.00772095]"
159,17e4f7455,"[ 0.04107666 -0.05734253 -0.00741577 ...  0.04415894 -0.00863647
 -0.00674438]"
160,17ee04476,"[ 0.00177002  0.02328491  0.03723145 ... -0.00033569  0.00549316
  0.00802612]"
161,180769302,"[-0.00131226 -0.00222778 -0.00079346 ...  0.00622559  0.00466919
  0.00195312]"
162,181c24172,"[ 0.00274658  0.00259399  0.00402832 ...  0.00387573 -0.00369263
 -0.00384521]"
163,18440190f,"[-0.03701782 -0.03161621 -0.02307129 ... -0.00357056 -0.00930786
 -0.00930786]"
164,1854a2a2b,"[ 0.00134277  0.0007019  -0.00622559 ... -0.00958252 -0.01879883
 -0.01885986]"
165,185cfa74c,"[ 3.81469727e-03 -6.10351562e-05 -8.85009766e-04 ... -2.62451172e-03
 -3.75366211e-03 -4.88281250e-04]"
166,1870355e2,"[ 0.01882935  0.02096558  0.01470947 ...  0.01678467  0.00054932
 -0.01278687]"
167,18f071508,"[ 0.03039551 -0.02825928 -0.00735474 ... -0.00195312  0.00137329
 -0.01239014]"
168,18fca9b00,"[-0.00265503 -0.01519775 -0.02505493 ...  0.00485229  0.00390625
  0.00967407]"
169,1920ab37b,"[ 0.01345825  0.00643921  0.00579834 ... -0.00137329 -0.00109863
 -0.00430298]"
170,19661e5b5,"[-0.00332642 -0.00762939 -0.00836182 ...  0.01083374  0.00656128
  0.0083313 ]"
171,19741caaf,"[-0.02124023 -0.01696777 -0.01486206 ...  0.00912476  0.01690674
  0.0213623 ]"
172,198ebd860,"[ 0.00772095  0.0062561   0.00497437 ... -0.00085449  0.00210571
 -0.00393677]"
173,19919f02d,"[-0.04415894 -0.00015259 -0.03326416 ...  0.00836182  0.0043335
 -0.02127075]"
174,1993257ef,"[-0.00170898 -0.00958252 -0.00765991 ... -0.00506592 -0.00335693
 -0.00482178]"
175,19b06be65,"[ 0.00085449 -0.00326538 -0.00048828 ... -0.00457764 -0.00595093
 -0.00500488]"
176,19ed9a1d6,"[ 0.00335693  0.00128174  0.00292969 ... -0.00540161 -0.00616455
 -0.00195312]"
177,19ee687c1,"[-0.0017395  -0.00311279 -0.0072937  ... -0.00466919 -0.00628662
 -0.0123291 ]"
178,1a38ab8f7,"[ 0.01800537  0.03695679  0.01699829 ...  0.01382446  0.01541138
 -0.00091553]"
179,1a41bf115,"[-0.0022583  -0.00970459 -0.00579834 ... -0.00421143 -0.00054932
 -0.0005188 ]"
180,1a6023cf7,"[ 7.26318359e-03  6.10351562e-05 -3.14331055e-03 ... -9.15527344e-04
  1.52587891e-03  6.10351562e-04]"
181,1a6c0de34,"[ 0.0010376  -0.00698853 -0.01553345 ... -0.01461792 -0.02233887
  0.00878906]"
182,1a7620a74,"[-0.07000732 -0.019104    0.00494385 ... -0.04119873  0.01296997
  0.00756836]"
183,1a863efc9,[0.01037598 0.00970459 0.00262451 ... 0.00488281 0.00778198 0.00820923]
184,1a8e6ed24,"[ 0.00552368  0.00247192  0.00747681 ... -0.00332642 -0.0005188
  0.00628662]"
185,1ad017dae,"[ 0.02389526  0.01226807  0.00997925 ...  0.00491333  0.00280762
 -0.00213623]"
186,1af859e06,"[ 0.01107788  0.00613403  0.0085144  ... -0.09866333 -0.09637451
 -0.09881592]"
187,1b08d91c6,"[ 0.00332642 -0.01193237  0.01052856 ...  0.00427246  0.00827026
 -0.00445557]"
188,1b1188215,"[ 0.00540161  0.00341797 -0.00161743 ... -0.00341797 -0.00735474
 -0.00357056]"
189,1b171eeb9,"[-0.00326538  0.01660156  0.00436401 ... -0.08151245 -0.08477783
 -0.07131958]"
190,1b97f921c,"[-0.00259399 -0.00204468 -0.00323486 ... -0.00042725  0.00338745
 -0.00448608]"
191,1b9e29ee0,"[-0.00198364 -0.00115967  0.00509644 ... -0.00952148 -0.0090332
 -0.00689697]"
192,1c1999ed5,"[ 6.46972656e-03 -1.09863281e-03  4.57763672e-04 ...  5.92041016e-03
 -9.15527344e-05 -1.92260742e-03]"
193,1c4bd2220,"[ 0.02038574 -0.00115967  0.01599121 ... -0.01153564 -0.01049805
 -0.00708008]"
194,1c5bc7532,"[-0.00775146 -0.01702881 -0.01660156 ...  0.00610352  0.01135254
  0.01568604]"
195,1c5dd4d8c,"[ 0.01037598  0.01184082  0.01123047 ... -0.01873779 -0.01000977
  0.04278564]"
196,1c6f5b86c,"[ 0.03134155  0.04681396  0.04302979 ... -0.0007019  -0.0007019
 -0.00140381]"
197,1c80e3954,"[-0.01889038 -0.01638794 -0.00878906 ...  0.01266479  0.
 -0.00491333]"
198,1ca795071,"[ 0.16427612  0.13201904  0.09835815 ...  0.00558472  0.01037598
 -0.01416016]"
199,1cae43e22,"[-0.03466797 -0.0184021   0.00292969 ... -0.01528931 -0.02862549
 -0.03567505]"
200,1caf0abe1,"[ 0.00592041  0.00238037  0.00628662 ... -0.00534058 -0.00228882
 -0.00161743]"
201,1ccffffde,"[ 0.01269531 -0.00100708 -0.00476074 ...  0.00817871  0.01953125
  0.03411865]"
202,1cdc3632e,"[ 0.00390625  0.01498413  0.03753662 ... -0.00991821 -0.00637817
 -0.00534058]"
203,1cef3807e,"[-0.0241394   0.01077271  0.04696655 ...  0.3682251   0.46737671
  0.52130127]"
204,1d1d07484,"[-0.00534058  0.00109863  0.01290894 ...  0.00454712 -0.00036621
  0.00820923]"
205,1d2634157,"[-0.02157593  0.01934814 -0.0078125  ...  0.04864502 -0.02624512
  0.0135498 ]"
206,1d2cf3d4c,[0.00198364 0.00338745 0.00482178 ... 0.01565552 0.01968384 0.01858521]
207,1da16d6f3,"[ 0.00057983 -0.00259399  0.00067139 ... -0.00189209  0.00042725
  0.00238037]"
208,1dab35cfd,"[ 0.00180054  0.00128174  0.00378418 ... -0.00048828  0.00286865
 -0.00125122]"
209,1dcddefff,"[-0.01196289 -0.0100708  -0.00231934 ... -0.00201416 -0.00717163
 -0.01092529]"
210,1de9987d9,"[-0.00250244  0.00222778 -0.00317383 ...  0.00372314 -0.00045776
  0.00061035]"
211,1df388a1d,"[ 0.00634766 -0.01559448 -0.02957153 ... -0.00350952 -0.00958252
 -0.02035522]"
212,1df93a50a,"[ 0.00619507  0.00631714  0.00128174 ...  0.00680542  0.00201416
 -0.00552368]"
213,1e0138ef6,"[-0.00201416 -0.00201416  0.00067139 ... -0.01373291 -0.01159668
 -0.01550293]"
214,1e0a01132,"[ 0.02020264 -0.01159668  0.01031494 ... -0.01135254  0.02539062
 -0.01043701]"
215,1e58a00a3,"[-0.00186157 -0.00314331 -0.00949097 ...  0.00836182  0.00418091
 -0.00308228]"
216,1e5c121b3,"[-3.96118164e-02  6.10351562e-05  4.15039062e-02 ... -1.40380859e-03
  1.19018555e-03  7.38525391e-03]"
217,1ea169e31,"[-0.00549316 -0.00723267 -0.00442505 ...  0.00756836  0.00439453
  0.00015259]"
218,1ea38590f,"[ 0.00018311  0.00305176  0.00436401 ... -0.00262451 -0.00338745
 -0.0007019 ]"
219,1eac8b319,"[-0.00210571  0.00067139  0.00582886 ... -0.00579834 -0.01116943
 -0.01422119]"
220,1efcccce4,"[ 0.14886475  0.07003784 -0.05215454 ... -0.0032959  -0.01535034
  0.00579834]"
221,1f23d5322,"[ 0.01925659  0.01870728  0.01828003 ...  0.00097656  0.00186157
 -0.00067139]"
222,1f23d7fbd,"[-0.00613403 -0.00576782 -0.00445557 ... -0.00268555  0.00827026
 -0.00228882]"
223,1f2f7f4b4,"[-0.00460815  0.0201416  -0.00033569 ...  0.01022339 -0.01275635
 -0.01480103]"
224,1f620384b,"[9.15527344e-05 1.14135742e-02 1.49230957e-02 ... 6.53076172e-03
 6.50024414e-03 7.11059570e-03]"
225,1f677b66a,"[ 0.00064087  0.00430298  0.00195312 ... -0.00479126 -0.00540161
 -0.00305176]"
226,1f6a464e3,"[ 0.01687622  0.00958252  0.01123047 ... -0.00048828  0.00466919
  0.01153564]"
227,1fbbf279a,"[-0.00256348 -0.00259399 -0.00616455 ...  0.00765991 -0.00418091
 -0.00073242]"
228,1feb08603,"[-0.01092529  0.0100708   0.00244141 ... -0.00100708  0.00039673
 -0.00326538]"
229,20230e9b1,"[-0.0027771  -0.00836182 -0.00543213 ... -0.00894165 -0.01101685
 -0.00509644]"
230,204c8a6c3,"[-0.00695801 -0.00888062 -0.00460815 ...  0.00543213  0.00408936
  0.00372314]"
231,205bc47aa,"[-0.00137329 -0.00311279  0.01211548 ...  0.01901245  0.02474976
  0.03619385]"
232,2071ca51a,"[ 0.04403687  0.05276489  0.04620361 ...  0.0020752  -0.03237915
 -0.04660034]"
233,208597b8c,[0.00057983 0.00088501 0.00061035 ... 0.01547241 0.00888062 0.00201416]
234,20af031a5,"[-0.00100708 -0.00726318 -0.02099609 ...  0.00247192 -0.00073242
  0.01235962]"
235,20f5fe372,"[ 0.00119019  0.00061035 -0.00140381 ... -0.0012207  -0.0007019
  0.0022583 ]"
236,212e01f98,"[-0.00238037  0.00100708 -0.00402832 ... -0.00256348 -0.00067139
  0.00360107]"
237,2138680f1,"[ 0.00772095  0.0211792   0.0352478  ... -0.01522827 -0.04238892
 -0.05526733]"
238,2154999b8,"[-0.00305176 -0.00231934 -0.00299072 ... -0.00283813 -0.00085449
 -0.00262451]"
239,21750cfe1,"[-0.00228882  0.01150513  0.01434326 ... -0.09231567 -0.08032227
 -0.06124878]"
240,218ec8afe,"[ 0.00045776  0.003479   -0.00222778 ... -0.00585938  0.0007019
  0.00042725]"
241,2194860bd,[0.00808716 0.01345825 0.01782227 ... 0.11523438 0.09048462 0.08288574]
242,21979f709,"[-0.00247192 -0.00961304 -0.01821899 ...  0.00143433  0.01184082
  0.01715088]"
